AbduceStrategy,Case,ChanceAnd,ChanceSplit,ChangePct,ChangedRatioMin,Changes,Explained,ExplainedPct,ExplainedRatioMax,Inconsistent,Microseconds,Nodes,Same,Strategy,Strokes,WhiteStrategy
min-in-deg-min-anc,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,11734092,41,true,min-in-deg-min-anc_min-ancestors,67,min-ancestors
rand,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,10245165,43,true,rand_min-ancestors,60,min-ancestors
min-in-degree,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,11624455,43,true,min-in-degree_min-ancestors,60,min-ancestors
max-in-degree,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,11050592,43,true,max-in-degree_min-ancestors,60,min-ancestors
min-ancestors,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,10853888,43,true,min-ancestors_min-ancestors,60,min-ancestors
max-ancestors,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,19251609,43,true,max-ancestors_min-ancestors,60,min-ancestors
min-anc-max-in-deg,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,12320409,43,true,min-anc-max-in-deg_min-ancestors,60,min-ancestors
max-in-deg-min-anc,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,11816747,43,true,max-in-deg-min-anc_min-ancestors,60,min-ancestors
min-anc-min-in-deg,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,16381392,43,true,min-anc-min-in-deg_min-ancestors,60,min-ancestors
min-in-deg-min-anc,16,0.75,0.25,86.04651162790698,1.0,37,1,100.0,1.0,0,14150020,43,true,min-in-deg-min-anc_min-ancestors,60,min-ancestors
rand,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1334534,48,true,rand_min-ancestors,94,min-ancestors
min-in-degree,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1428060,48,true,min-in-degree_min-ancestors,94,min-ancestors
max-in-degree,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1414406,48,true,max-in-degree_min-ancestors,94,min-ancestors
min-ancestors,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1417367,48,true,min-ancestors_min-ancestors,94,min-ancestors
max-ancestors,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1457463,48,true,max-ancestors_min-ancestors,94,min-ancestors
min-anc-max-in-deg,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1430295,48,true,min-anc-max-in-deg_min-ancestors,94,min-ancestors
max-in-deg-min-anc,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1431673,48,true,max-in-deg-min-anc_min-ancestors,94,min-ancestors
min-anc-min-in-deg,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1471217,48,true,min-anc-min-in-deg_min-ancestors,94,min-ancestors
min-in-deg-min-anc,17,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1435045,48,true,min-in-deg-min-anc_min-ancestors,94,min-ancestors
rand,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,302920,6,true,rand_min-ancestors,6,min-ancestors
min-in-degree,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,272594,6,true,min-in-degree_min-ancestors,6,min-ancestors
max-in-degree,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,267152,6,true,max-in-degree_min-ancestors,6,min-ancestors
min-ancestors,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,268953,6,true,min-ancestors_min-ancestors,6,min-ancestors
max-ancestors,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,267874,6,true,max-ancestors_min-ancestors,6,min-ancestors
min-anc-max-in-deg,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,279962,6,true,min-anc-max-in-deg_min-ancestors,6,min-ancestors
max-in-deg-min-anc,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,279702,6,true,max-in-deg-min-anc_min-ancestors,6,min-ancestors
min-anc-min-in-deg,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,280258,6,true,min-anc-min-in-deg_min-ancestors,6,min-ancestors
min-in-deg-min-anc,18,0.75,0.25,83.33333333333333,1.0,5,1,100.0,1.0,0,275341,6,true,min-in-deg-min-anc_min-ancestors,6,min-ancestors
rand,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4394343,28,true,rand_min-ancestors,29,min-ancestors
min-in-degree,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4427339,28,true,min-in-degree_min-ancestors,29,min-ancestors
max-in-degree,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4397376,28,true,max-in-degree_min-ancestors,29,min-ancestors
min-ancestors,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4715674,28,true,min-ancestors_min-ancestors,29,min-ancestors
max-ancestors,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4468675,28,true,max-ancestors_min-ancestors,29,min-ancestors
min-anc-max-in-deg,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4658055,28,true,min-anc-max-in-deg_min-ancestors,29,min-ancestors
max-in-deg-min-anc,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4628154,28,true,max-in-deg-min-anc_min-ancestors,29,min-ancestors
min-anc-min-in-deg,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,4669849,28,true,min-anc-min-in-deg_min-ancestors,29,min-ancestors
min-in-deg-min-anc,19,0.75,0.25,96.42857142857143,1.0,27,1,100.0,1.0,0,8784990,28,true,min-in-deg-min-anc_min-ancestors,29,min-ancestors
